x,y,z,speed,time,theta,longitude,latitude,altitude
197492.9418,2502755.075,101.86,2.375,1577503915,1.038994513,114.057597,22.6047577,101.86
197492.9418,2502755.075,101.86,2.386111021,1577503915,1.038994513,114.0575972,22.6047581,101.86
197492.9739,2502755.141,101.86,2.386111021,1577503915,1.039692645,114.0575973,22.6047583,101.86
197492.9847,2502755.163,101.86,2.386111021,1577503915,1.039867177,114.0575974,22.6047585,101.86
197492.9847,2502755.163,101.86,2.386111021,1577503915,1.039867177,114.0575974,22.6047585,101.86
197493.0162,2502755.196,101.87,2.386111021,1577503915,1.040390776,114.0575977,22.6047588,101.87
197493.0162,2502755.196,101.87,2.386111021,1577503915,1.040390776,114.0575977,22.6047588,101.87
197493.0376,2502755.24,101.87,2.386111021,1577503915,1.040914375,114.0575979,22.6047592,101.87
197493.0376,2502755.24,101.87,2.386111021,1577503915,1.040914375,114.0575979,22.6047592,101.87
197493.0591,2502755.284,101.87,2.386111021,1577503915,1.041263441,114.0575981,22.6047596,101.87
197493.0591,2502755.284,101.87,2.386111021,1577503915,1.041263441,114.0575981,22.6047596,101.87
197493.0591,2502755.284,101.87,2.405555487,1577503915,1.041263441,114.0575984,22.60476,101.87
197493.0908,2502755.327,101.87,2.405555487,1577503915,1.041612507,114.0575984,22.60476,101.87
197493.1226,2502755.371,101.87,2.405555487,1577503915,1.042310638,114.0575987,22.6047604,101.87
197493.1226,2502755.371,101.87,2.405555487,1577503915,1.042310638,114.0575987,22.6047604,101.87
197493.144,2502755.415,101.87,2.405555487,1577503915,1.042659704,114.0575989,22.6047608,101.87
197493.144,2502755.415,101.87,2.405555487,1577503915,1.042659704,114.0575989,22.6047608,101.87
197493.1652,2502755.448,101.88,2.405555487,1577503915,1.043183303,114.0575991,22.6047611,101.88
197493.1652,2502755.448,101.88,2.405555487,1577503915,1.043183303,114.0575993,22.6047613,101.88
197493.197,2502755.491,101.88,2.405555487,1577503915,1.043532369,114.0575994,22.6047615,101.88
197493.197,2502755.491,101.88,2.405555487,1577503915,1.043532369,114.0575994,22.6047615,101.88
197493.2184,2502755.535,101.88,2.405555487,1577503915,1.044230501,114.0575996,22.6047619,101.88
197493.2184,2502755.535,101.88,2.405555487,1577503915,1.044230501,114.0575996,22.6047619,101.88
197493.2502,2502755.579,101.88,2.405555487,1577503915,1.044579566,114.0575999,22.6047623,101.88
197493.2502,2502755.579,101.88,2.405555487,1577503915,1.044579566,114.0575999,22.6047623,101.88
197493.2716,2502755.623,101.88,2.419444561,1577503915,1.044928632,114.0576001,22.6047627,101.88
197493.2716,2502755.623,101.88,2.419444561,1577503915,1.044928632,114.0576001,22.6047627,101.88
197493.2931,2502755.667,101.88,2.419444561,1577503915,1.045452231,114.0576003,22.6047631,101.88
197493.3141,2502755.689,101.88,2.419444561,1577503915,1.045626764,114.0576005,22.6047633,101.88
197493.3141,2502755.689,101.88,2.419444561,1577503915,1.045626764,114.0576005,22.6047633,101.88
197493.3353,2502755.721,101.89,2.419444561,1577503915,1.046150363,114.0576007,22.6047636,101.89
197493.3463,2502755.754,101.89,2.419444561,1577503915,1.046150363,114.0576008,22.6047639,101.89
197493.3463,2502755.754,101.89,2.419444561,1577503915,1.046150363,114.0576008,22.6047639,101.89
197493.3778,2502755.787,101.89,2.419444561,1577503915,1.046499428,114.0576011,22.6047642,101.89
197493.3778,2502755.787,101.89,2.419444561,1577503915,1.046499428,114.0576011,22.6047642,101.89
197493.3992,2502755.831,101.89,2.436111212,1577503915,1.046848494,114.0576013,22.6047646,101.89
197493.3992,2502755.831,101.89,2.436111212,1577503915,1.046848494,114.0576013,22.6047646,101.89
197493.431,2502755.875,101.89,2.436111212,1577503915,1.047023027,114.0576016,22.604765,101.89
197493.431,2502755.875,101.89,2.436111212,1577503915,1.047023027,114.0576016,22.604765,101.89
197493.4524,2502755.919,101.9,2.436111212,1577503915,1.047372093,114.0576018,22.6047654,101.9
197493.4524,2502755.919,101.9,2.436111212,1577503915,1.047372093,114.0576018,22.6047654,101.9
197493.4739,2502755.963,101.9,2.436111212,1577503915,1.047546626,114.057602,22.6047658,101.9
197493.4739,2502755.963,101.9,2.436111212,1577503915,1.047546626,114.057602,22.6047658,101.9
197493.5056,2502756.006,101.9,2.436111212,1577503915,1.048070225,114.0576023,22.6047662,101.9
